time,goodput,replaced
1575009431,3,3
1575009431,4,3
1575009431,4,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,3,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
1575009431,4,3
